3FFD25 3FFC3F
3FFFE4 3FFAEA
0002DF 3FFB84
0004E4 3FFDA7
000562 000060
000477 0002BB
0002B5 000427
0000C7 000487
3FFF2A 000412
3FFE1C 000327
3FFD9E 000220
3FFD91 000134
3FFDC8 000081
3FFE19 00000D
3FFE8C 3FFFCD
3FFEEF 3FFFAF
3FFF3F 3FFFA9
3FFF7E 3FFFB1
3FFFAD 3FFFBE
3FFFD2 3FFFD0
3FFFED 3FFFE5
000000 000000
000000 000000
000000 000000
000000 000000
000000 000000
000000 000000
000000 000000
000000 000000
000000 000000
000000 000000
000000 000000
000000 000000
000000 000000
000000 000000
000000 000000
000000 000000
000000 000000
000000 000000
000000 000000
000000 000000
000000 000000
000000 000000
000053 000008
000035 00005E
3FFFDD 00002B
00002B 3FFFD5
000083 00004E
3FFFE0 0000BB
3FFF5D 3FFFF8
000040 3FFF6D
0000D9 000086
3FFF88 000154
3FFE59 3FFFE5
3FFFB0 3FFE4F
0001A4 3FFF62
0000E6 0001A9
3FFE4F 000169
3FFDD1 3FFE8F
0000A0 3FFD08
000353 3FFF42
00025F 0002DD
3FFE87 0003B3
3FFBD7 0000A9
3FFD10 3FFCB0
00011C 3FFB84
000471 3FFE27
000461 000267
00010E 00050F
3FFCE8 000456
3FFAA1 0000DE
3FFB74 3FFCEB
3FFE9F 3FFAB9
000222 3FFB27
00044E 3FFD63
0004C1 3FFFF0
000429 0001FA
000312 00038D
000166 0004B1
3FFF5A 0004DF
3FFDD1 000411
3FFD23 000333
3FFCB5 00028A
3FFD46 0001C9
3FFFC2 000426
3FFD1E 000E0E
3FE835 001554
3FC92D 3FFE41
3FCC8A 3FC489
000F19 3FA01C
005B1B 3FCD33
005830 002890
000CCD 004D95
3FD68D 0023EF
3FE233 3FF47C
000015 3FF1A7
00041E 000090
3FFCD3 0000BB
3FFFE3 3FFBDA
000449 000043
3FFF8A 000499
3FFB17 3FFFED
3FFF5A 3FFB27
000484 3FFEB4
0001E1 000436
3FFC15 0002B2
3FFC30 3FFCB8
0001F2 3FFB11
000574 3FFFE3
000275 0004E9
3FFCD0 000469
3FFAB6 3FFF6A
3FFDC9 3FFB54
000295 3FFBBA
0004CC 3FFF9D
00031D 00036B
3FFF65 000461
3FFC80 000257
3FFC1D 3FFF22
3FFDFC 3FFCE0
000096 3FFCA5
000255 3FFE0E
00029D 3FFFE0
0001EA 000119
000109 000197
000048 0001B9
3FFF82 0001A9
3FFECC 000124
3FFE9F 00004B
3FFF0A 3FFFBA
3FFF6D 3FFFC0
3FFF65 3FFFCD
3FFF72 3FFF82
3FFFE0 3FFF6A
000013 3FFFC5
3FFFD0 3FFFE5
3FFFD3 3FFFA0
000025 3FFFB5
000000 000000
000000 000000
000000 000000
000000 000000
000000 000000
000000 000000
000000 000000
000000 000000
000000 000000
000000 000000
000000 000000
000000 000000
000000 000000
000000 000000
000000 000000
000000 000000
000000 000000
000000 000000
000000 000000
000000 000000
000000 000000
000000 000000
000000 000000
000000 000000
